Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
refirststory_cb561d56		Not knowing what they want, you leave them alone for the time being. 	game/script.rpy	341	"[what]"
refirststory_1de36175		After class, [d] goes out and you see the three of them gather around. 	game/script.rpy	343	"[what]"
refirststory_296bad15		You don't feel right. 	game/script.rpy	360	"[what]"
refirststory_5f5cc1cf_1		You walk over.	game/script.rpy	366	"[what]"
refirststory_2cec459f	pov	What are you playing? Can I join in?	game/script.rpy	375	pov "[what]"
refirststory_e2e9778e	a	Er..no? We're not playing anything.	game/script.rpy	379	a "[what]"
refirststory_9fc56c48	b	Yeah, yeah, we're just talking. 	game/script.rpy	383	b "[what]"
refirststory_a20cefa7_4		...	game/script.rpy	385	"[what]"
refirststory_73ed8d8b		They look a little embarrassed and don't look directly at you.	game/script.rpy	387	"[what]"
refirststory_8c88fb27	pov	I actually heard you guys talking about it earlier and I don't think it's good behavior to poke fun at other people like that.	game/script.rpy	392	pov "[what]"
refirststory_4b8676d6	c	I don't know what you're talking about. 	game/script.rpy	396	c "[what]"
refirststory_6836cf11	pov	Are you gonna take [chars[]3[3]] homework?	game/script.rpy	398	pov "[what]"
refirststory_289cbc82	abc	...	game/script.rpy	404	abc "[what]"
refirststory_c0f8165e	pov	This is already considered theft. 	game/script.rpy	406	pov "[what]"
refirststory_461c50f3	b	...We won't do it again, don't you tell him.	game/script.rpy	408	b "[what]"
refirststory_43d59d33	pov	Don't do this to others either.	game/script.rpy	410	pov "[what]"
refirststory_bd5aca87	a	Well......	game/script.rpy	412	a "[what]"
refirststory_c0ab37dd		With that they leave and you return to your seat.	game/script.rpy	425	"[what]"
refirststory_ebe3d33e		[d] returns to the classroom near the beginning of class, but [chars[]3[2]] doesn't know what's going on.	game/script.rpy	431	"[what]"
refirststory_39675597		Well done for stopping a bullying session that hadn't even happened yet, that's more likely to reduce the damage they cause.	game/script.rpy	433	"[what]"
refirststory_a20cefa7_5		...	game/script.rpy	435	"[what]"
refirststory_b601ab08	pov	Eh, so can I join you? 	game/script.rpy	439	pov "[what]"
refirststory_7b2595a4	a	Uh, nothing really, just thinking about homework.	game/script.rpy	443	a "[what]"
refirststory_6a10030d	pov	Ah, I actually can't quite figure out how to write my homework, let's do it together!	game/script.rpy	445	pov "[what]"
refirststory_89515e7c	b	Oh, oh well, then ...... it's almost time for class, so let's go back to our seats and have a look.	game/script.rpy	449	b "[what]"
refirststory_f67c46a8	c	Yeah right, back to our seat for discussion.	game/script.rpy	453	c "[what]"
refirststory_9c75aef0		So you go back to your seats and pretend to continue the discussion with them.	game/script.rpy	455	"[what]"
refirststory_28ed10a0		Class starts and [d] returns to class, unaware of what has happened. 	game/script.rpy	468	"[what]"
refirststory_3c8b6e50		[abc] see you acting like this and don't go back to doing so later. 	game/script.rpy	470	"[what]"
refirststory_d807aa06		Well done, you stopped a bullying session in advance.	game/script.rpy	472	"[what]"
refirststory_13a75801		But perhaps you could have just cautioned them not to do such a thing, otherwise they might have continued to do so if you hadn't been there.	game/script.rpy	474	"[what]"
refirststory_a20cefa7_6		...	game/script.rpy	476	"[what]"
refirststory_8bb657b4		You see them huddled around there and after a while smiling and leaving.	game/script.rpy	488	"[what]"
refirststory_a20cefa7_7		...	game/script.rpy	492	"[what]"
refirststory_a0536740		After a while [d] comes back, but don't notice that anything has been taken.	game/script.rpy	498	"[what]"
refirststory_12817165		Fortunately you have [d]'s contact details.	game/script.rpy	506	"[what]"
refirststory_8414ec9c	pov	"Hi, I just saw some people taking something out of your school bag."	game/script.rpy	508	pov "[what]"
refirststory_e265a5a9	d	"Jesus, thank you, let me check..."	game/script.rpy	514	d "[what]"
refirststory_6ec1f534		[chars[]3[2]] rummages through [chars[]3[3]] bag.	game/script.rpy	516	"[what]"
refirststory_82bc5eb9		After a while, [chars[]3[2]] looks aware that something is missing.	game/script.rpy	518	"[what]"
refirststory_04e79a36	d	"They took my homework, do you know who did it?"	game/script.rpy	522	d "[what]"
refirststory_8b2b758b	pov	"Yeah, I think is [a], [b] and [c]."	game/script.rpy	524	pov "[what]"
refirststory_43be78bc	d	"Thank you."	game/script.rpy	526	d "[what]"
refirststory_5806ba59		Suprisingly, [chars[]3[2]] doesn't look very angry, as if [chars[]3[2]]'s used to this sort of thing.	game/script.rpy	530	"[what]"
refirststory_51e99a8a		And [chars[]3[2]] asks for his homework back from those people afterwards.	game/script.rpy	532	"[what]"
refirststory_a20cefa7_8		...	game/script.rpy	534	"[what]"
refirststory_4c378b1e		Just because [chars[]3[2]] seems to be used to it doesn't mean it won't hurt [chars[]3[4]].	game/script.rpy	536	"[what]"
refirststory_6047b2c4		Maybe you can try to stop it happening in advance next time.	game/script.rpy	538	"[what]"
refirststory_97d755ac		Let's try it again!	game/script.rpy	540	"[what]"
refirststory_54075543		By the time classes start in the afternoon.	game/script.rpy	553	"[what]"
refirststory_68eb8083	t	All right, turn in your homework.	game/script.rpy	555	t "[what]"
refirststory_3e5d14a6		Everyone is going through their bags, and give their homework to the teacher.	game/script.rpy	557	"[what]"
refirststory_9058de70		However, [d] is still finding.	game/script.rpy	567	"[what]"
refirststory_a20cefa7_9		...	game/script.rpy	569	"[what]"
refirststory_45f38ad1		After a while.	game/script.rpy	571	"[what]"
refirststory_6095103f	d	Sorry, I think I forgot to put my homework in my bag...	game/script.rpy	577	d "[what]"
refirststory_278c1dca	t	Well, are you sure you have finished it?	game/script.rpy	579	t "[what]"
refirststory_b2842d1b	d	Yes...	game/script.rpy	581	d "[what]"
refirststory_3beccb21	t	Never mind, come to my office after the class.	game/script.rpy	583	t "[what]"
refirststory_b2842d1b_1	d	Yes...	game/script.rpy	585	d "[what]"
refirststory_a20cefa7_10		...	game/script.rpy	587	"[what]"
refirststory_49e31282		[d] looks really upset.	game/script.rpy	591	"[what]"
refirststory_64cd7e1f	abc	Hahahahaha...	game/script.rpy	609	abc "[what]"
refirststory_0d78e960		And you hear some people are laughing quietly.	game/script.rpy	611	"[what]"
refirststory_a20cefa7_11		...	game/script.rpy	618	"[what]"
refirststory_a28436bf		Let's try it again.	game/script.rpy	620	"[what]"
secondstory_f357fa42		Chapter two	game/script.rpy	639	"[what]"
resecondstory_85b4add2		A new class for a new semester, and a class that is still largely filled with people you don't know. 	game/script.rpy	696	"[what]"
resecondstory_771b76e3		You sit restlessly in your chair alone, looking for anyone you know.	game/script.rpy	700	"[what]"
resecondstory_145dc76a		Fortunately you see two of your former classmates [d] and [e], and you greet each other, but they are seated far away from you.	game/script.rpy	714	"[what]"
resecondstory_a20cefa7		...	game/script.rpy	716	"[what]"
resecondstory_977aae19		After the whole day, you get to know the people around you a little.	game/script.rpy	721	"[what]"
resecondstory_e39977fc	a	Hey, would you like to have dinner together? So that we can get to know each other better.	game/script.rpy	727	a "[what]"
resecondstory_8d90ed6c	b	Good idea! I'd to have some chips!	game/script.rpy	733	b "[what]"
resecondstory_805a1e3c	pov	Sure, sounds great.	game/script.rpy	735	pov "[what]"
resecondstory_ae050257	c	..Sorry, I'm not available tonight.	game/script.rpy	741	c "[what]"
resecondstory_ff1393e4	a	That's fine, but you have to join us next time.	game/script.rpy	745	a "[what]"
resecondstory_357d70e6	c	Haha, ok. Have fun.	game/script.rpy	749	c "[what]"
resecondstory_a20cefa7_1		...	game/script.rpy	751	"[what]"
resecondstory_a20cefa7_2		...	game/script.rpy	758	"[what]"
resecondstory_f16689d6		You have a great meal with them, and you find that you are pretty enjoy spending time with them.	game/script.rpy	760	"[what]"
resecondstory_2189cf71		"It's a good start." You think to yourself.	game/script.rpy	762	"[what]"
resecondstory_a20cefa7_3		...	game/script.rpy	764	"[what]"
resecondstory_eb2cdf08		For the next few days, you live a normal school life.	game/script.rpy	766	"[what]"
resecondstory_6fe74f4a		In most time, you stay with classmates sit around you like lunch or rest time, but you also have chat or play with [d] and [e] sometimes.	game/script.rpy	768	"[what]"
resecondstory_a20cefa7_4		...	game/script.rpy	774	"[what]"
resecondstory_a20cefa7_5		...	game/script.rpy	778	"[what]"
resecondstory_a20cefa7_6		...	game/script.rpy	780	"[what]"
resecondstory_afac2e82		One day	game/script.rpy	782	"[what]"
resecondstory_93661028	b	[c], why are you eating this again?	game/script.rpy	788	b "[what]"
resecondstory_3019b236	c	Err, I just like it...	game/script.rpy	794	c "[what]"
resecondstory_0467e1d3	a	Spaghetti fanatic? You should have some meat and vegetables, it's not healthy.	game/script.rpy	800	a "[what]"
resecondstory_4069507f	pov	Well, But I think [chars[]2[2]]'s healthier than you.	game/script.rpy	802	pov "[what]"
resecondstory_669023f1	a	Huh? Why?	game/script.rpy	806	a "[what]"
resecondstory_f583fbc4	pov	Look, [chars[]2[2]] never buys drinks, only drinks water, but you have coke everyday.	game/script.rpy	808	pov "[what]"
resecondstory_122e2319	pov	That's a lot of sugar you know.	game/script.rpy	810	pov "[what]"
resecondstory_375ef5d2	a	...Make sense...Wait, but last time I gave [chars[]2[4]] a can of coke and [chars[]2[2]] took it, which means [chars[]2[2]] also drinks it right?	game/script.rpy	814	a "[what]"
resecondstory_9c710e11	c	Haha...	game/script.rpy	816	c "[what]"
resecondstory_99d75aa0		You notice [c] smiling awkwardly.	game/script.rpy	818	"[what]"
resecondstory_67532947	pov	But still much less than you.	game/script.rpy	820	pov "[what]"
resecondstory_7fbbf9b4	a	Wait and see, I'll drink diet coke from tomorrow.	game/script.rpy	824	a "[what]"
resecondstory_cde496c3	pov	Haha, I bet you won't last two days.	game/script.rpy	826	pov "[what]"
resecondstory_a20cefa7_7		...	game/script.rpy	828	"[what]"
resecondstory_a20cefa7_8		...	game/script.rpy	836	"[what]"
resecondstory_a2447aae		However, the longer you know [chars[]2[4]], the more you think [chars[]2[3]] family might not be well off.	game/script.rpy	838	"[what]"
resecondstory_996aadd2	a	Let's have a group, shall we? We can share homework there.	game/script.rpy	844	a "[what]"
resecondstory_9a25c5fd	b	Oh that's great, we should add friends first.	game/script.rpy	850	b "[what]"
resecondstory_a20cefa7_9		...	game/script.rpy	856	"[what]"
resecondstory_a7f70fee		Everyone takes their phone out, except [c].	game/script.rpy	861	"[what]"
resecondstory_b4d01bbe	pov	[c], is there anything wrong? What's your account?	game/script.rpy	863	pov "[what]"
resecondstory_50952f54	c	...[c]@hmail.com	game/script.rpy	865	c "[what]"
resecondstory_a20cefa7_10		...	game/script.rpy	867	"[what]"
resecondstory_05e15120	pov	Alright, got it, you need to accept my apply.	game/script.rpy	869	pov "[what]"
resecondstory_808ffbc8	c	Ah, ok.	game/script.rpy	871	c "[what]"
resecondstory_07e77c40		Finally [chars[]2[2]] takes phone out.	game/script.rpy	873	"[what]"
resecondstory_872172de	a	Wow, is it jphone6 or 6s? I miss it so much!	game/script.rpy	878	a "[what]"
resecondstory_8ef0d967	b	It is, it's been six years?	game/script.rpy	882	b "[what]"
resecondstory_51fbbd3c	c	Yeah...my mom used it.	game/script.rpy	884	c "[what]"
resecondstory_556c374d	pov	All done, I've added you all, I'll create a group.	game/script.rpy	886	pov "[what]"
resecondstory_a20cefa7_11		...	game/script.rpy	892	"[what]"
resecondstory_5d3482a3		Also, [chars[]2[2]] barely change [chars[]2[3]] clothes.	game/script.rpy	896	"[what]"
resecondstory_a64454b2		After a while, you find that [chars[]2[2]] often doesn't join in your conversations, and [chars[]2[2]] doesn't attend the usual gatherings at all.	game/script.rpy	901	"[what]"
resecondstory_e433fcf4		Gradually, people stopped inviting [chars[]2[4]] to after-school activities	game/script.rpy	903	"[what]"
resecondstory_a20cefa7_12		...	game/script.rpy	905	"[what]"
resecondstory_a20cefa7_13		...	game/script.rpy	907	"[what]"
resecondstory_a20cefa7_14		...	game/script.rpy	909	"[what]"
resecondstory_349c5e95		After a month.	game/script.rpy	911	"[what]"
resecondstory_b04f0daf		One day, after the class and you are ready to go for lunch.	game/script.rpy	915	"[what]"
resecondstory_a5441802		At the moment, [c] is discussing a problem with the teacher and you are waiting for [chars[]2[4]] to join you.	game/script.rpy	927	"[what]"
resecondstory_60caea9c	a	Let's go to the canteen.	game/script.rpy	932	a "[what]"
resecondstory_522fc428	b	[pov], hurry up or there will be a queue later	game/script.rpy	938	b "[what]"
resecondstory_968fc957	pov	Oh, ok. alright.	game/script.rpy	940	pov "[what]"
resecondstory_ba7a7e58		You're a bit surprised they didn't wait for [c]. You wonder if [c] said ahead of time for us to go first or if [chars[]2[2]]'s not going to lunch today.	game/script.rpy	947	"[what]"
resecondstory_a20cefa7_15		...	game/script.rpy	952	"[what]"
resecondstory_a20cefa7_16		...	game/script.rpy	961	"[what]"
resecondstory_dc60a2d1		By the time you have served your meal and sat down to eat, you notice that [c] has come to the canteen alone and has found a seat to eat alone.	game/script.rpy	968	"[what]"
resecondstory_3cf1d9ee		You are a little confused.	game/script.rpy	970	"[what]"
resecondstory_bf5238de	pov	Why does [c] go to lunch alone?	game/script.rpy	972	pov "[what]"
resecondstory_e1ec9890	b	Because [chars[]2[2]] doesn't have anyone else to eat with, right?	game/script.rpy	976	b "[what]"
resecondstory_f94c098a	pov	So why not come to us?	game/script.rpy	978	pov "[what]"
resecondstory_3b289843	a	Maybe [chars[]2[2]] has found out that we don't want to eat with [chars[]2[4]].	game/script.rpy	982	a "[what]"
resecondstory_931969b2	pov	Huh? Why? 	game/script.rpy	984	pov "[what]"
resecondstory_48535601	a	Don't you think [chars[]2[2]] can't actually play with us?	game/script.rpy	988	a "[what]"
resecondstory_b9101f29	pov	Does [chars[]2[2]]?	game/script.rpy	990	pov "[what]"
resecondstory_691f9d7f	b	[c] never goes out with us, [chars[]2[3]] phone doesn't support the latest games, and [chars[]2[2]] doesn't join in with the usual conversation.	game/script.rpy	994	b "[what]"
resecondstory_58649043	pov	Huh...	game/script.rpy	996	pov "[what]"
resecondstory_8709bd14		You don't know what to say and eat in silence.	game/script.rpy	998	"[what]"
resecondstory_a20cefa7_17		...	game/script.rpy	1004	"[what]"
resecondstory_a20cefa7_18		...	game/script.rpy	1009	"[what]"
resecondstory_a20cefa7_19		...	game/script.rpy	1020	"[what]"
resecondstory_cab7a7ec		After eating and returning to class, [c] come back a while later, but [chars[]2[2]] doesn't ask where you had gone to eat. 	game/script.rpy	1028	"[what]"
resecondstory_28ba8512		It's as if [chars[]2[2]]'s used to being treated this way, when in fact you think back and [chars[]2[2]]'s never initiated a conversation with you. 	game/script.rpy	1032	"[what]"
resecondstory_5c5b0bb7		But [chars[]2[2]] was very willing to respond when you approached [chars[]2[4]] to talk, it didn't seem like [chars[]2[2]] didn't want to talk to you. 	game/script.rpy	1037	"[what]"
resecondstory_ed2a55aa		You decide to...	game/script.rpy	1039	"[what]"
resecondstory_a20cefa7_20		...	game/script.rpy	1044	"[what]"
resecondstory_a20cefa7_21		...	game/script.rpy	1048	"[what]"
resecondstory_cccd7f7d		The next day at noon.	game/script.rpy	1054	"[what]"
resecondstory_c9379955	pov	You guys go ahead and eat today, I have something to do.	game/script.rpy	1056	pov "[what]"
resecondstory_50175924		And with that you walk out of the classroom. 	game/script.rpy	1058	"[what]"
resecondstory_a20cefa7_22		...	game/script.rpy	1062	"[what]"
resecondstory_f45b2ca5		When [a] and [b] have left, you go back to the classroom. 	game/script.rpy	1076	"[what]"
resecondstory_a20cefa7_23		...	game/script.rpy	1078	"[what]"
resecondstory_0fa00c04	pov	Want to go to dinner together? 	game/script.rpy	1087	pov "[what]"
resecondstory_182c12a8		You speak to [c].	game/script.rpy	1089	"[what]"
resecondstory_204b4b35	c	Huh? Uh....yeah....let's go...... 	game/script.rpy	1093	c "[what]"
resecondstory_6766d0ce		So you go to the canteen together and pick a seat away from [a] and [b]. 	game/script.rpy	1103	"[what]"
resecondstory_a20cefa7_24		...	game/script.rpy	1105	"[what]"
resecondstory_e2cd81cf		You eat your meal in peace. 	game/script.rpy	1108	"[what]"
resecondstory_a20cefa7_25		...	game/script.rpy	1110	"[what]"
resecondstory_a20cefa7_26		...	game/script.rpy	1115	"[what]"
resecondstory_42650717		When you return to class, you notice that [a] and [b] look at you a bit strangely and don't offer to greet you. 	game/script.rpy	1125	"[what]"
resecondstory_2211abe1		Feeling a little strange, you sit down and take out your phone and you find a message from [d]. 	game/script.rpy	1130	"[what]"
resecondstory_7fe6d68f	d	"What's going on with you guys? I was sitting behind [a] and [b] just now and they seemed to be upset with you "	game/script.rpy	1136	d "[what]"
resecondstory_3e041a06	pov	"Ah, maybe because I didn't go to lunch with them?"	game/script.rpy	1138	pov "[what]"
resecondstory_0efd0057	d	"They said they just told you something yesterday and today you like this or something."	game/script.rpy	1140	d "[what]"
resecondstory_e918c941	pov	"...... I see, thank you."	game/script.rpy	1142	pov "[what]"
resecondstory_70f37699		You didn't expect them to find out and it was a bit embarrassing.	game/script.rpy	1146	"[what]"
resecondstory_a20cefa7_27		...	game/script.rpy	1150	"[what]"
resecondstory_a20cefa7_28		...	game/script.rpy	1154	"[what]"
resecondstory_8bb0a288		And the next day noon, they don't invite you and go for the lunch.	game/script.rpy	1156	"[what]"
resecondstory_a20cefa7_29		...	game/script.rpy	1171	"[what]"
resecondstory_7f07aff1	c	You don't have to do this, it's not worth losing a friend for me.	game/script.rpy	1177	c "[what]"
resecondstory_0684e622	pov	It's okay, I'd rather be with you.	game/script.rpy	1179	pov "[what]"
resecondstory_a20cefa7_30		...	game/script.rpy	1181	"[what]"
resecondstory_a20cefa7_31		...	game/script.rpy	1187	"[what]"
resecondstory_a20cefa7_32		...	game/script.rpy	1191	"[what]"
resecondstory_a20cefa7_33		...	game/script.rpy	1195	"[what]"
resecondstory_640159af		For a week since then, [a] and [b] have stopped inviting you to their events, although you will have dinner with [c], and [d] and [e] will strike up a conversation with you. 	game/script.rpy	1197	"[what]"
resecondstory_af42090f		But sitting next to someone and not being able to communicate makes you uncomfortable.	game/script.rpy	1199	"[what]"
resecondstory_78387eb2		So you become better with [chars[]2[4]] and [chars[]2[2]] becomes more forthcoming with you, but the rest of the class doesn't get on as well with you because of [a] and [b].	game/script.rpy	1208	"[what]"
resecondstory_a20cefa7_34		...	game/script.rpy	1210	"[what]"
resecondstory_377c4ec4		The next year, you are in different classes and you meet new classmates.	game/script.rpy	1214	"[what]"
resecondstory_19028a0c		However, [c] doesn't meet anyone like you, and becomes alone again as before.	game/script.rpy	1216	"[what]"
resecondstory_a20cefa7_35		...	game/script.rpy	1218	"[what]"
resecondstory_5a6d5e71		It's good for you to help a person like [chars[]2[4]], but sometimes the power of one person is not enough.	game/script.rpy	1220	"[what]"
resecondstory_97d755ac		Let's try it again!	game/script.rpy	1222	"[what]"
resecondstory_a20cefa7_36		...	game/script.rpy	1226	"[what]"
resecondstory_a20cefa7_37		...	game/script.rpy	1230	"[what]"
resecondstory_e2789ccf		Obviously it's better for you to be on good terms with [a] and [b].	game/script.rpy	1236	"[what]"
resecondstory_85e35075		So find a time when [c] isn't around.	game/script.rpy	1238	"[what]"
resecondstory_b82a023e	pov	Can I join you for lunch today?	game/script.rpy	1250	pov "[what]"
resecondstory_75c925fd		[a] and [b] look at each other.	game/script.rpy	1252	"[what]"
resecondstory_ebb2afb6	a	Sure.	game/script.rpy	1262	a "[what]"
resecondstory_610636d9	b	Wise choice.	game/script.rpy	1264	b "[what]"
resecondstory_a20cefa7_38		...	game/script.rpy	1268	"[what]"
resecondstory_a20cefa7_39		...	game/script.rpy	1276	"[what]"
resecondstory_fa3dbb4c		At noon, you go to lunch together.	game/script.rpy	1288	"[what]"
resecondstory_b9271b75		When you see [c] eating alone at lunch time, you feel a bit bad but you can't do anything about it. 	game/script.rpy	1294	"[what]"
resecondstory_a20cefa7_40		...	game/script.rpy	1300	"[what]"
resecondstory_a20cefa7_41		...	game/script.rpy	1304	"[what]"
resecondstory_d81de284		Back in the classroom, [c] doesn't say anything to you, as if [chars[]2[2]]'s already expecting this. 	game/script.rpy	1310	"[what]"
resecondstory_a20cefa7_42		...	game/script.rpy	1312	"[what]"
resecondstory_de7b907a		That's how you get through a normal year. 	game/script.rpy	1314	"[what]"
resecondstory_8e9df44c		The following year, you move to different classes, meet new friends and [c] remains on [chars[]2[3]] own. 	game/script.rpy	1316	"[what]"
resecondstory_a20cefa7_43		...	game/script.rpy	1318	"[what]"
resecondstory_936589a7		At least you tried, but sometimes it's hard to make the decision.	game/script.rpy	1320	"[what]"
resecondstory_97d755ac_1		Let's try it again!	game/script.rpy	1322	"[what]"
resecondstory_a20cefa7_44		...	game/script.rpy	1326	"[what]"
resecondstory_a20cefa7_45		...	game/script.rpy	1330	"[what]"
resecondstory_27c6ec8a		You can't take the risk of being isolated together.	game/script.rpy	1338	"[what]"
resecondstory_d2967f86		You've had a normal year and are on friendly terms with most people, but you've been sorry in your heart for [c]. 	game/script.rpy	1340	"[what]"
resecondstory_95f3241d		Every time you see [chars[]2[4]] alone, you always feel like you should have done something about it, but it's too late.	game/script.rpy	1342	"[what]"
resecondstory_6403412b		The following year, you move to different classes and never speak to each other again. 	game/script.rpy	1344	"[what]"
resecondstory_a9a618f7		It's hard to take the risk, but maybe you can have a try.	game/script.rpy	1346	"[what]"
resecondstory_96e5bac3		Let's do it again.	game/script.rpy	1348	"[what]"
resecondstory_a20cefa7_46		...	game/script.rpy	1352	"[what]"
resecondstory_a20cefa7_47		...	game/script.rpy	1356	"[what]"
resecondstory_b310946e		You don't think you can handle this alone, so you call up [d] and [e] after class.	game/script.rpy	1362	"[what]"
resecondstory_5250c1df		You tell them what's going on. 	game/script.rpy	1374	"[what]"
resecondstory_306f3a5d	d	......This kind of thing happens all the time, some people are like this.	game/script.rpy	1378	d "[what]"
resecondstory_51c9a426	e	I don't think people should isolate others just because of that.	game/script.rpy	1382	e "[what]"
resecondstory_4b5e7a6d	pov	Yes, so I wondered if I could help him. 	game/script.rpy	1384	pov "[what]"
resecondstory_c82ac7c2	d	Yes, we haven't had any contact with [chars[]2[4]] before and don't know about [chars[]2[4]], but we're happy to have a try. 	game/script.rpy	1388	d "[what]"
resecondstory_4755319b	e	En.	game/script.rpy	1390	e "[what]"
resecondstory_a20cefa7_48		...	game/script.rpy	1394	"[what]"
resecondstory_70d07a81		So the next day at noon.	game/script.rpy	1398	"[what]"
resecondstory_c9379955_1	pov	You guys go ahead and eat today, I have something to do.	game/script.rpy	1400	pov "[what]"
resecondstory_2cc05a8e		And with that you walk out of the classroom.	game/script.rpy	1402	"[what]"
resecondstory_a20cefa7_49		...	game/script.rpy	1406	"[what]"
